Date,Time,Booking_ID,Booking_Status,Customer_ID,Vehicle_Type,Pickup_Location,Drop_Location,Avg_VTAT,Avg_CTAT,Cancelled_Rides_by_Customer,Cancelled_Rides_by_Driver,Incomplete_Rides,Incomplete_Rides_Reason,Booking_Value,Ride_Distance,Driver_Ratings,Customer_Ratings,Payment_Method
2026-01-20,10:29:26,CNR9066595256,Success,CUS21902,Cab Premium,Mahesh Nagar,MI Road,11.25,5.01,0,0,0,,145,10.27,4.82,4.14,UPI
2026-01-22,01:05:53,CNR5583871565,Cancelled by Driver,CUS20403,Bike,Sodala,Chandpole,,,0,1,0,,657,,,,Net Banking
2026-01-07,05:15:18,CNR9064547057,Success,CUS73522,Cab Premium,Tilak Nagar,Nirman Nagar,8.14,9.59,0,0,0,,249,3.64,4.39,3.51,Wallet
2026-01-21,10:25:18,CNR6933983951,Cancelled by Driver,CUS59149,Cab Economy,Bapu Nagar,Shastri Nagar,,,0,1,0,,185,,,,Debit Card
2026-01-04,06:44:11,CNR6108896450,Success,CUS60080,Cab XL,Shastri Nagar,Chandpole,4.62,6.45,0,0,0,,214,15.25,4.32,3.57,Debit Card
2026-01-24,09:10:27,CNR5729546385,Success,CUS15141,Cab Priority,Pratap Nagar,Khatipura,5.53,3.71,0,0,0,,420,2.71,3.9,3.86,Cash
2026-01-06,20:28:57,CNR5079208337,Incomplete,CUS69075,Cab XL,Ramganj,Barkat Nagar,,,0,0,1,Customer Demand,114,,,,Net Banking
2026-01-18,01:16:02,CNR6687172781,Success,CUS54729,Cab XL,C-Scheme,Pratap Nagar,10.59,13.26,0,0,0,,285,5.89,4.86,4.01,Credit Card
2026-01-06,00:14:30,CNR8607886350,Cancelled by Driver,CUS39029,Bike,Civil Lines,Lal Kothi,,,0,1,0,,483,,,,Debit Card
2026-01-25,08:04:56,CNR6381038291,Cancelled by Customer,CUS29810,Bike,Kukas,Ajmer Road,,,1,0,0,,608,,,,Debit Card
2026-01-07,10:29:40,CNR1982244228,Cancelled by Driver,CUS52280,Cab XL,Pratap Nagar,Amer,,,0,1,0,,99,,,,Cash
2026-01-20,21:45:42,CNR5144017374,Success,CUS60494,Cab Premium,Durgapura,Ajmer Road,5.73,12.81,0,0,0,,491,17.51,3.64,4.42,Wallet
2026-01-12,06:35:44,CNR2642167141,Success,CUS78570,Cab Economy,Sindhi Camp,Kalwar Road,2.41,8.34,0,0,0,,342,2.81,4.61,4.86,Net Banking
2026-01-06,10:55:44,CNR1023504321,Success,CUS15064,Auto,Civil Lines,Transport Nagar,2.7,9.27,0,0,0,,759,7.15,4.63,4.65,Wallet
2026-01-15,14:14:46,CNR7443565409,Success,CUS86175,Auto,Narayan Singh Circle,Narayan Singh Circle,2.96,11.31,0,0,0,,637,13.82,3.99,4.38,Net Banking
